nombre_estacion,estacion,latitude,longitude
Mixcoac,Linea 12,19.3757967002,-99.1877081963
Zapata,Linea 12,19.3705202583,-99.1648166498
Eje Central,Linea 12,19.3614164661,-99.1516874947
Mexicaltzingo,Linea 12,19.3575230891,-99.1214990292
Culhuacán,Linea 12,19.3377244141,-99.1090561035
Periférico Oriente,Linea 12,19.3184873296,-99.0766395304
Tezonco,Linea 12,19.3067404089,-99.067064238
Olivos,Linea 12,19.3038901565,-99.05805216
Nopalera,Linea 12,19.299001749,-99.0431616159
Moctezuma,Linea 1,19.4271332532,-99.1103616129
San Lázaro,Linea 1,19.4302219578,-99.1142868671
Salto del Agua,Linea 1,19.4269202702,-99.1432083395
Insurgentes,Linea 1,19.4235735877,-99.1630228711
Sevilla,Linea 1,19.421775731,-99.1707242768
Observatorio,Linea 1,19.3982147213,-99.2003998677
Tacuba,Linea 2,19.4594834227,-99.1888511051
Popotla,Linea 2,19.4525951099,-99.1750800034
Colegio Militar,Linea 2,19.4489838061,-99.1715980633
San Cosme,Linea 2,19.4420422015,-99.1610384028
Zócalo,Linea 2,19.4330189547,-99.1322965506
Pino Suárez,Linea 2,19.425825756,-99.1331228599
Chabacano,Linea 2,19.409032433,-99.1356717407
Ermita,Linea 2,19.3618185402,-99.1429742999
General Anaya,Linea 2,19.3532586139,-99.1449881216
La Raza,Linea 3,19.4686293297,-99.139012775
Guerrero,Linea 3,19.4446131162,-99.145201195
Juárez,Linea 3,19.4332619052,-99.1476786992
Etiopía,Linea 3,19.3954822792,-99.1560082582
Viveros,Linea 3,19.3540509007,-99.1753961361
Copilco,Linea 3,19.3361231843,-99.1765381663
Santa Anita,Linea 4,19.4028723528,-99.1217049588
Morelos,Linea 4,19.4395767912,-99.1181500371
La Raza,Linea 5,19.4696491366,-99.1367932056
Misterios,Linea 5,19.4632772474,-99.1307751872
Consulado,Linea 5,19.4550242901,-99.1137327219
Eduardo Molina,Linea 5,19.451339656,-99.1055814601
Oceanía,Linea 5,19.4453434833,-99.0872967981
Pantitlán,Linea 5,19.4150169414,-99.0741564388
Azcapotzalco,Linea 6,19.49074525,-99.1863838957
Ferrería,Linea 6,19.4906463846,-99.1739577028
Camarones,Linea 7,19.4789659527,-99.1901565147
Refinería,Linea 7,19.4699024156,-99.1905771065
